Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2015-12-01T00:00+01:00;2016-01-01T00:00+01:00;2015;12;8171;6998;9344;99,7;31;31;0;31;99,6;Totalt i retning Leangen;7668;472;204;207;19;42;40;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2015-12-01T00:00+01:00;2016-01-01T00:00+01:00;2015;12;16128;13788;18468;99,7;31;31;0;342;97,9;Totalt;14765;1020;461;413;52;95;88;7
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;764;647;881;95,8;31;30;1;0;100,0;1;730;33;16;15;1;2;2;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;806;658;954;95,8;31;30;1;32;96,0;2;733;41;20;15;2;3;3;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;6529;5587;7471;95,8;31;30;1;24;99,6;3;6080;424;184;189;16;35;33;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;6328;5418;7238;95,8;31;30;1;179;97,2;4;5634;515;249;189;28;48;43;5
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;7134;6088;8180;95,8;31;30;1;211;97,0;Totalt i retning Lade;6368;555;269;204;30;52;46;6
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;7293;6236;8350;95,8;31;30;1;25;99,7;Totalt i retning Leangen;6810;458;200;204;17;36;34;2
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-01-01T00:00+01:00;2016-02-01T00:00+01:00;2016;1;14427;12325;16529;95,8;31;30;1;236;98,4;Totalt;13178;1013;470;408;48;88;80;8
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;814;706;922;99,6;29;29;0;1;99,9;1;777;37;18;16;1;1;1;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;855;708;1002;99,6;29;29;0;22;97,4;2;790;43;21;15;3;3;3;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;7074;6247;7901;99,6;29;29;0;21;99,7;3;6558;495;221;209;17;48;47;1
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;6862;6081;7643;99,6;29;29;0;195;97,2;4;6078;589;289;209;29;61;56;5
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;7717;6819;8615;99,6;29;29;0;217;97,2;Totalt i retning Lade;6868;632;310;224;32;66;60;6
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;7887;6956;8818;99,6;29;29;0;20;99,7;Totalt i retning Leangen;7335;531;239;225;18;49;48;1
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-02-01T00:00+01:00;2016-03-01T00:00+01:00;2016;2;15604;13775;17433;99,6;29;29;0;237;98,5;Totalt;14203;1164;550;449;50;115;108;7
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;756;628;884;98,5;31;31;0;0;100,0;1;724;32;17;13;1;1;1;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;809;650;968;98,5;31;31;0;25;96,9;2;744;40;19;13;3;4;4;0
90656V41781;Haakon VII gt øst;FV6668 S1D1 m3066;2016-03-01T00:00+01:00;2016-04-01T00:00+02:00;2016;3;6594;5531;7657;98,5;31;31;0;16;99,8;3;6118;460;196;197;20;48;46;2
